times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8
0.0,0.996670366259712,1.0,0.98918918918919,0.9954233409610987,0.9920212765957449,0.9882352941176465,0.9932432432432433,0.9971671388101983,0.997252747252747,1.0
2.0,0.995559251024194,0.9966216216216223,0.983783783783784,0.9931350114416481,0.9893545527339287,0.9823529411764707,0.9932432432432433,0.9971671388101983,0.997252747252747,1.0
4.0,0.9944481357886761,0.9932432432432433,0.9783783783783792,0.9908466819221968,0.9866878288721119,0.9823529411764707,0.9932432432432433,0.9971671388101983,0.997252747252747,1.0
6.0,0.9933370205531575,0.9932432432432433,0.9729729729729734,0.9885583524027466,0.9840211050102956,0.9823529411764707,0.9932432432432433,0.9971671388101983,0.9945054945054951,1.0
8.0,0.9922246610676563,0.9932432432432433,0.9729729729729734,0.9885583524027466,0.9840211050102956,0.9823529411764707,0.9932432432432433,0.9971671388101983,0.9945054945054951,0.998095238095238
10.0,0.9911123015821537,0.9932432432432433,0.9675675675675679,0.986270022883295,0.981347134616246,0.9823529411764707,0.9864864864864867,0.9971671388101983,0.9945054945054951,0.998095238095238
13.0,0.9899999420966523,0.9898648648648655,0.9621621621621624,0.9839816933638443,0.9786731642221955,0.9823529411764707,0.9864864864864867,0.9971671388101983,0.9917506316398293,0.998095238095238
14.0,0.9888875826111505,0.9898648648648655,0.9621621621621624,0.9839816933638443,0.9786731642221955,0.9823529411764707,0.9864864864864867,0.9943180898421693,0.9889957687741627,0.9961904761904766
16.0,0.9866628636401464,0.9864864864864867,0.9567567567567569,0.9816933638443938,0.9759991938281461,0.9823529411764707,0.9797297297297299,0.9914690408741405,0.9889957687741627,0.9942857142857149
18.0,0.983325785183641,0.9864864864864867,0.9567567567567569,0.9816933638443938,0.9733252234340963,0.9823529411764707,0.9797297297297299,0.9886199919061113,0.9834860430428303,0.9904761904761906
19.0,0.982213425698139,0.9864864864864867,0.9513513513513514,0.9794050343249427,0.9706512530400464,0.9823529411764707,0.9797297297297299,0.9886199919061113,0.9834860430428303,0.9904761904761906
21.0,0.9799887067271359,0.9831081081081087,0.9459459459459467,0.9748283752860418,0.965303312251947,0.9764705882352942,0.9729729729729734,0.9886199919061113,0.9834860430428303,0.9904761904761906
26.0,0.9788763472416334,0.9831081081081087,0.940540540540541,0.9725400457665909,0.9626293418578977,0.9705882352941171,0.9729729729729734,0.9886199919061113,0.9834860430428303,0.9904761904761906
28.0,0.9777639877561316,0.9797297297297299,0.9351351351351358,0.9702517162471398,0.9599553714638476,0.9705882352941171,0.9729729729729734,0.9886199919061113,0.9834860430428303,0.9904761904761906
29.0,0.9766516282706302,0.9797297297297299,0.9297297297297298,0.9679633867276886,0.9572814010697982,0.9705882352941171,0.9729729729729734,0.9886199919061113,0.9834860430428303,0.9904761904761906
35.0,0.9744269092996266,0.9763513513513518,0.9297297297297298,0.9656750572082384,0.9572814010697982,0.9705882352941171,0.9729729729729734,0.9886199919061113,0.9834860430428303,0.9866666666666666
38.0,0.9710898308431205,0.9729729729729734,0.9189189189189195,0.9610983981693365,0.9519334602816987,0.9705882352941171,0.9662162162162162,0.9857709429380824,0.9807311801771644,0.984761904761905
39.0,0.9699774713576189,0.9695945945945952,0.9189189189189195,0.9588100686498855,0.9519334602816987,0.9647058823529412,0.9662162162162162,0.9857709429380824,0.9807311801771644,0.982857142857143
41.0,0.9677527523866153,0.9695945945945952,0.9189189189189195,0.9542334096109842,0.9492594898876492,0.9529411764705875,0.9662162162162162,0.9857709429380824,0.9807311801771644,0.9809523809523814
42.0,0.9655280334156118,0.9662162162162162,0.9189189189189195,0.9519450800915333,0.946585519493599,0.9529411764705875,0.9662162162162162,0.9857709429380824,0.9779763173114985,0.9790476190476196
43.0,0.9644156739301092,0.9662162162162162,0.9135135135135138,0.9496567505720822,0.9439115490995493,0.9470588235294116,0.9662162162162162,0.9857709429380824,0.9779763173114985,0.9790476190476196
45.0,0.9633033144446076,0.9628378378378384,0.9081081081081084,0.9473684210526316,0.9412375787054996,0.9470588235294116,0.9662162162162162,0.9857709429380824,0.9752214544458319,0.9790476190476196
46.0,0.9610785954736036,0.95945945945946,0.9027027027027034,0.9427917620137304,0.9358896379174001,0.9411764705882347,0.9662162162162162,0.9857709429380824,0.9752214544458319,0.9790476190476196
49.0,0.9588538765026,0.9560810810810815,0.891891891891892,0.9382151029748289,0.9305416971293011,0.9352941176470585,0.9662162162162162,0.9857709429380824,0.9724665915801657,0.9790476190476196
50.0,0.9577415170170982,0.9560810810810815,0.8864864864864871,0.9359267734553781,0.9278677267352514,0.9294117647058822,0.9662162162162162,0.9857709429380824,0.9724665915801657,0.9790476190476196
51.0,0.9566291575315964,0.9560810810810815,0.8864864864864871,0.9359267734553781,0.9278677267352514,0.9294117647058822,0.9662162162162162,0.9857709429380824,0.9724665915801657,0.9771428571428572
54.0,0.9566291575315964,0.9560810810810815,0.8864864864864871,0.9359267734553781,0.9278677267352514,0.9294117647058822,0.9662162162162162,0.9857709429380824,0.9724665915801657,0.9771428571428572
63.0,0.9555155030990805,0.9560810810810815,0.8810810810810814,0.9336384439359268,0.9251937563412019,0.9294117647058822,0.9662162162162162,0.9857709429380824,0.9724665915801657,0.9771428571428572
64.0,0.9544018486665642,0.9527027027027032,0.8756756756756756,0.9313501144164757,0.9225197859471522,0.9294117647058822,0.95945945945946,0.9857709429380824,0.9724665915801657,0.9771428571428572
67.0,0.9521745398015309,0.9493243243243242,0.8702702702702707,0.9267734553775742,0.919845815553102,0.9176470588235291,0.95945945945946,0.9857709429380824,0.9724665915801657,0.9752343750000001
70.0,0.9499472309364985,0.9459459459459458,0.8648648648648649,0.9221967963386726,0.917171845159052,0.9117647058823528,0.9527027027027032,0.9857709429380824,0.9724665915801657,0.9733258928571427
72.0,0.9488335765039816,0.9425675675675677,0.8594594594594598,0.9199084668192222,0.9144978747650023,0.9058823529411765,0.9527027027027032,0.9857709429380824,0.9724665915801657,0.9733258928571427
75.0,0.9477199220714658,0.9391891891891893,0.8540540540540544,0.9176201372997715,0.9118239043709532,0.9058823529411765,0.9459459459459458,0.9857709429380824,0.9724665915801657,0.9733258928571427
76.0,0.9466062676389495,0.9391891891891893,0.8486486486486486,0.9153318077803203,0.9091499339769037,0.9058823529411765,0.9459459459459458,0.9857709429380824,0.9724665915801657,0.9733258928571427
