times,population,R0,R1,R2,R3,R4,R5
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9701046337817638,0.947183098591549,1.0,1.0,0.9043062200956941,0.963302752293578,0.9238578680203043
2.0,0.9499097030862298,0.9084507042253518,1.0,1.0,0.8395415836432168,0.9326243206918721,0.8832487309644671
3.0,0.9386902971442661,0.8873239436619716,1.0,1.0,0.8035612300585077,0.9142172617308483,0.8781725888324876
4.0,0.9274708912023034,0.8732394366197184,1.0,1.0,0.7675808764737984,0.8896745164494829,0.8629441624365485
5.0,0.9199912872409939,0.8591549295774649,1.0,1.0,0.7435939740839925,0.8712674574884595,0.8527918781725887
6.0,0.913259643675816,0.841549295774648,1.0,1.0,0.7220057619331666,0.8589960848477765,0.8426395939086299
7.0,0.9087718812990306,0.8345070422535212,1.0,1.0,0.7076136204992833,0.8528603985274353,0.8375634517766495
8.0,0.8990483961493293,0.8204225352112671,1.0,1.0,0.6764306473925351,0.8436568690469239,0.8172588832487311
9.0,0.892316752584151,0.8028169014084507,1.0,1.0,0.6548424352417094,0.8313854964062412,0.7969543147208119
10.0,0.8848371486228425,0.7887323943661968,1.0,1.0,0.6308555328519033,0.822181966925729,0.7918781725888325
11.0,0.8780998099277446,0.7711267605633803,1.0,1.0,0.6091849229447771,0.8129784374452171,0.7766497461928933
12.0,0.873608250797679,0.7676056338028167,1.0,1.0,0.5947378496733595,0.800707064804535,0.7715736040609138
13.0,0.8698652848559578,0.7640845070422535,1.0,1.0,0.5826986219471783,0.797639221644364,0.766497461928934
14.0,0.8683680984792698,0.7640845070422535,1.0,1.0,0.5778829308567054,0.7945713784841931,0.766497461928934
15.0,0.8638765393492048,0.7605633802816902,1.0,1.0,0.563435857585288,0.7884356921638525,0.7614213197969542
16.0,0.8601335734074835,0.753521126760563,1.0,1.0,0.5513966298591066,0.7853678490036814,0.7563451776649747
17.0,0.8548934210890745,0.7464788732394364,1.0,1.0,0.5345417110424525,0.7761643195231698,0.7411167512690354
18.0,0.8504018619590094,0.7464788732394364,1.0,1.0,0.520094637771035,0.763892946882487,0.7411167512690354
19.0,0.8474074892056324,0.7394366197183095,1.0,1.0,0.5104632555900898,0.7577572605621461,0.7411167512690354
20.0,0.8406701505105342,0.7394366197183095,1.0,1.0,0.48879264568296327,0.751621574241805,0.7360406091370557
21.0,0.8376757777571575,0.7359154929577463,1.0,1.0,0.4791612635020182,0.7485537310816343,0.7309644670050762
22.0,0.8294412526853716,0.721830985915493,1.0,1.0,0.4526749625044193,0.7301466721206105,0.7157360406091372
23.0,0.8279440663086832,0.7183098591549292,1.0,1.0,0.44785927141394694,0.7301466721206105,0.7157360406091372
24.0,0.8219553208019295,0.7112676056338029,1.0,1.0,0.4285965070520565,0.7178752994799279,0.7055837563451774
25.0,0.8167151684835199,0.7042253521126757,1.0,1.0,0.4117415882354028,0.7086717699994156,0.6954314720812184
26.0,0.8129722025417989,0.7007042253521124,1.0,1.0,0.3997023605092215,0.6994682405189041,0.6751269035532995
27.0,0.8077320502233896,0.6936619718309858,1.0,1.0,0.38284744169256735,0.68106118155788,0.6700507614213196
28.0,0.8024918979049803,0.6901408450704221,1.0,1.0,0.3659925228759135,0.6718576520773684,0.6649746192893399
29.0,0.7980003387749149,0.686619718309859,1.0,1.0,0.3515454496044958,0.6626541225968565,0.6548223350253806
30.0,0.7920115932681616,0.6795774647887323,1.0,1.0,0.3322826852426058,0.6503827499561737,0.6446700507614213
31.0,0.7867714409497524,0.6725352112676055,1.0,1.0,0.3154277664259516,0.6442470636358324,0.6345177664974622
32.0,0.7807826954429987,0.6619718309859154,1.0,1.0,0.29616500206406143,0.6381113773154913,0.6243654822335023
33.0,0.7777883226896217,0.6514084507042249,1.0,1.0,0.28653361988311654,0.6319756909951502,0.6192893401015229
34.0,0.7732967635595566,0.6408450704225349,1.0,1.0,0.2720865466116989,0.6258400046748086,0.6091370558375634
35.0,0.7680566112411471,0.6338028169014084,1.0,1.0,0.2552316277950449,0.6166364751942969,0.6091370558375634
