times,population,R0,R1,R2,R3,R4,R5
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
185.0,0.9950248756218902,0.9887640449438208,0.9868421052631576,1.0,1.0,1.0,1.0
204.0,0.990049751243781,0.9775280898876406,0.9736842105263163,1.0,1.0,0.982142857142857,1.0
210.0,0.9850746268656716,0.9662921348314605,0.9605263157894736,0.9444444444444446,1.0,0.964285714285714,1.0
232.0,0.9800995024875622,0.9550561797752813,0.9473684210526316,0.9444444444444446,1.0,0.964285714285714,1.0
279.0,0.9750989948218097,0.9436864633493857,0.9473684210526316,0.9444444444444446,1.0,0.964285714285714,1.0
295.0,0.970098487156057,0.9323167469234893,0.9473684210526316,0.9444444444444446,1.0,0.9460916442048516,1.0
355.0,0.970098487156057,0.9323167469234893,0.9473684210526316,0.9444444444444446,1.0,0.9460916442048516,1.0
386.0,0.9650720701241602,0.9208066636281369,0.9473684210526316,0.9444444444444446,1.0,0.9278975741239888,1.0
426.0,0.9600456530922635,0.9092965803327856,0.9342105263157895,0.9444444444444446,1.0,0.9097035040431263,1.0
469.0,0.9550192360603669,0.8977864970374339,0.9342105263157895,0.9444444444444446,1.0,0.8915094339622637,1.0
493.0,0.9550192360603669,0.8977864970374339,0.9342105263157895,0.9444444444444446,1.0,0.8915094339622637,1.0
529.0,0.9499662242293595,0.8861269321408435,0.9208646616541353,0.9444444444444446,1.0,0.8915094339622637,1.0
621.0,0.9449132123983525,0.8744673672442532,0.9075187969924812,0.9444444444444446,1.0,0.8915094339622637,1.0
629.0,0.9398602005673454,0.8628078023476639,0.8941729323308265,0.888888888888889,1.0,0.8915094339622637,1.0
659.0,0.9348071887363374,0.8511482374510733,0.8808270676691723,0.888888888888889,1.0,0.8915094339622637,1.0
667.0,0.9297541769053308,0.8394886725544833,0.8808270676691723,0.8333333333333335,1.0,0.8915094339622637,1.0
718.0,0.9247011650743238,0.8278291076578933,0.8674812030075183,0.8333333333333335,0.9913793103448278,0.8915094339622637,1.0
752.0,0.919648153243316,0.8161695427613035,0.8541353383458641,0.8333333333333335,0.9913793103448278,0.8733153638814014,1.0
779.0,0.9145951414123091,0.8045099778647135,0.8407894736842102,0.8333333333333335,0.9913793103448278,0.8551212938005386,1.0
793.0,0.9095421295813017,0.7928504129681233,0.8274436090225562,0.8333333333333335,0.9913793103448278,0.8369272237196763,1.0
817.0,0.9044891177502944,0.7928504129681233,0.8274436090225562,0.8333333333333335,0.9827586206896555,0.8369272237196763,0.9910714285714287
826.0,0.9044891177502944,0.7928504129681233,0.8274436090225562,0.8333333333333335,0.9827586206896555,0.8369272237196763,0.9910714285714287
833.0,0.8994077182123712,0.7810168247148678,0.8274436090225562,0.8333333333333335,0.9827586206896555,0.8187331536388136,0.9910714285714287
858.0,0.8943263186744481,0.7810168247148678,0.8274436090225562,0.8333333333333335,0.9827586206896555,0.800539083557951,0.9821428571428579
869.0,0.8892449191365258,0.7810168247148678,0.8274436090225562,0.8333333333333335,0.9827586206896555,0.7823450134770886,0.9732142857142858
872.0,0.8841635195986025,0.7810168247148678,0.8274436090225562,0.8333333333333335,0.9741379310344831,0.7823450134770886,0.9642857142857149
967.0,0.8790821200606798,0.7691832364616122,0.8140977443609021,0.8333333333333335,0.9741379310344831,0.7641509433962261,0.9642857142857149
977.0,0.8740007205227561,0.7573496482083566,0.8007518796992477,0.8333333333333335,0.9655172413793102,0.7641509433962261,0.9642857142857149
982.0,0.8689193209848338,0.7455160599551012,0.8007518796992477,0.8333333333333335,0.9655172413793102,0.7641509433962261,0.9642857142857149
1041.0,0.8638379214469107,0.7455160599551012,0.787406015037594,0.8333333333333335,0.9655172413793102,0.7641509433962261,0.9553571428571429
1055.0,0.8587565219089874,0.7336824717018459,0.787406015037594,0.7738095238095241,0.9655172413793102,0.7459568733153636,0.9553571428571429
1062.0,0.8536751223710642,0.7218488834485902,0.7740601503759394,0.7738095238095241,0.9655172413793102,0.727762803234501,0.9553571428571429
1075.0,0.8485937228331417,0.7100152951953344,0.7607142857142856,0.7738095238095241,0.9655172413793102,0.7095687331536384,0.9553571428571429
1156.0,0.8435123232952187,0.6981817069420791,0.7607142857142856,0.7738095238095241,0.9568965517241379,0.7095687331536384,0.9553571428571429
1228.0,0.8384309237572951,0.6863481186888233,0.7473684210526317,0.7738095238095241,0.948275862068966,0.7095687331536384,0.9553571428571429
1252.0,0.8333495242193727,0.674514530435568,0.7473684210526317,0.7738095238095241,0.948275862068966,0.691374663072776,0.9553571428571429
1271.0,0.8282681246814494,0.6626809421823125,0.7473684210526317,0.7142857142857146,0.948275862068966,0.6731805929919135,0.9553571428571429
1312.0,0.8231867251435261,0.6508473539290569,0.7473684210526317,0.7142857142857146,0.948275862068966,0.6731805929919135,0.9553571428571429
1427.0,0.8231867251435261,0.6508473539290569,0.7473684210526317,0.7142857142857146,0.948275862068966,0.6731805929919135,0.9553571428571429
1435.0,0.8180737641177895,0.6508473539290569,0.7337799043062201,0.7142857142857146,0.948275862068966,0.6549865229110509,0.9463443396226414
1499.0,0.8180737641177895,0.6508473539290569,0.7337799043062201,0.7142857142857146,0.948275862068966,0.6549865229110509,0.9463443396226414
